ENC Cell,Latest Edition No.,Latest Update No.,Latest Edition Issue Date,Latest Update Issue Date
GB45050B,9,,01-11-2021,
GB45062A,8,4,12-04-2018,14-08-2020
GB45082A,7,2,12-06-2017,20-09-2021
GB45122A,9,,22-04-2022,
GB45124A,14,,01-09-2021,
GB45402A,8,1,27-09-2019,19-02-2021
GB45502A,10,1,03-04-2020,10-03-2022
GB458400,1,1,07-12-2017,25-12-2020
GB47022A,13,1,17-12-2021,07-03-2022
GB47201A,6,2,15-11-2019,07-05-2021
GB47211A,14,,21-09-2021,
GB48004A,7,8,05-07-2019,22-04-2022
GB48044A,7,,06-07-2021,
GB48044B,4,,06-07-2021,
GB48102A,6,2,30-11-2018,19-02-2021
GB48202A,8,,24-09-2021,
GB48202B,8,5,10-10-2017,14-08-2020
GB48301B,4,2,03-08-2017,19-02-2021
GB48302A,5,2,22-02-2019,19-02-2021
GB48302B,1,2,15-11-2017,19-02-2021
GB4A0644,1,1,20-09-2019,30-10-2020
GB4A0742,1,2,17-02-2017,19-02-2021
GB4FLBIK,1,,21-12-2021,
GB4FLBIL,1,,21-12-2021,
GB4FLBIQ,1,,21-12-2021,
GB4FLBJM,1,,21-12-2021,
GB4FLBNH,1,,23-12-2021,
GB4FLBNL,1,,23-12-2021,
GB4FLBNQ,1,,23-12-2021,
GB4FLBPA,1,,21-12-2021,
GB4FLBPE,1,,23-12-2021,
GB4H0001,5,,05-05-2022,
GB4H0002,2,,24-05-2022,
GB4H0003,2,,24-05-2022,
GB4H0004,1,1,01-03-2022,21-03-2022
GB500011,3,2,04-07-2017,19-02-2021
GB500018,9,,26-11-2021,
GB500028,6,,20-01-2022,
GB500032,15,,02-07-2021,
GB500081,5,1,18-11-2016,13-11-2020
GB500144,15,1,12-03-2021,11-05-2021
GB500258,5,3,30-07-2017,19-02-2021
GB50026B,7,,23-08-2021,
GB50026C,6,2,11-12-2020,19-03-2021
GB50026D,4,3,27-10-2017,05-03-2021
GB50031B,5,2,10-04-2020,11-09-2020
GB50031C,8,,16-03-2022,
GB50031D,5,,29-11-2021,
GB50032B,1,1,21-04-2017,10-04-2020
GB50032C,1,1,21-04-2017,10-04-2020
GB500332,7,,06-09-2021,
GB50036A,4,2,15-01-2021,08-06-2022
GB500377,2,1,13-06-2017,04-12-2020
GB500378,5,,30-04-2021,
GB500387,2,1,29-06-2017,25-12-2020
GB500398,10,2,22-02-2019,09-02-2022
GB500454,8,1,20-07-2021,28-07-2021
GB500455,6,2,26-10-2017,05-02-2021
GB500460,5,1,18-11-2016,13-11-2020
GB500461,5,1,10-06-2021,16-08-2021
GB500462,8,3,29-06-2018,29-10-2021
GB500463,7,1,30-05-2022,14-06-2022
GB500503,3,,08-02-2022,
GB500519,9,,25-04-2022,
GB500542,6,1,18-11-2016,13-11-2020
GB500614,8,,26-05-2021,
GB500623,3,1,12-08-2016,21-08-2020
GB500659,5,1,10-01-2020,14-02-2020
GB500666,13,,09-02-2022,
GB500722,5,,15-11-2021,
GB500734,2,1,24-08-2017,25-12-2020
GB500737,3,1,10-08-2017,19-02-2021
GB500790,2,2,13-04-2018,19-05-2021
GB500797,5,2,08-12-2017,12-03-2021
GB500799,1,2,30-03-2018,19-02-2021
GB500812,6,,06-01-2022,
GB500816,4,,10-04-2020,
GB500819,2,1,04-11-2016,15-05-2020
GB500838,10,4,06-07-2021,11-05-2022
GB500855,6,2,22-06-2018,19-02-2021
GB501077,1,,06-12-2021,
GB501151,6,2,09-12-2021,14-04-2022
GB501186,23,,11-05-2022,
GB501214,3,5,19-05-2017,13-03-2020
GB501223,8,6,29-12-2017,08-01-2021
GB501224,4,,09-02-2022,
GB501229,3,2,12-05-2017,19-02-2021
GB501242,1,,27-11-2020,
GB501244,3,9,18-06-2017,19-02-2021
GB501265,5,4,19-05-2017,19-02-2021
GB501269,10,1,14-05-2017,19-02-2021
GB501321,3,3,23-03-2018,22-07-2021
GB501391,2,1,26-05-2021,25-02-2022
GB501415,6,,27-05-2022,
GB501450,3,,29-05-2020,
GB501452,6,2,15-11-2017,19-02-2021
GB501479,4,,19-10-2021,
GB50147A,1,1,21-04-2017,20-11-2020
GB50147C,4,,26-05-2021,
GB50147D,1,1,21-04-2017,20-11-2020
GB50147E,6,,10-08-2021,
GB50147F,4,1,21-04-2017,26-02-2021
GB501494,8,4,29-03-2019,16-06-2022
GB501540,8,,09-08-2021,
GB501547,8,1,21-08-2020,06-11-2020
GB501548,6,,05-03-2021,
GB501549,7,2,11-05-2018,16-04-2021
GB501552,5,7,14-06-2019,03-02-2022
GB501567,4,1,02-07-2021,23-03-2022
GB501570,4,1,18-01-2018,26-02-2021
GB501578,5,,21-01-2022,
GB501590,4,,11-02-2022,
GB50162B,31,,13-05-2022,
GB50162D,12,1,18-05-2018,26-02-2021
GB501638,5,1,23-10-2017,26-02-2021
GB501660,11,1,03-05-2022,06-05-2022
GB501674,5,,13-04-2022,
GB501748,3,,10-05-2022,
GB501772,4,2,26-09-2017,30-10-2020
GB50178B,4,1,26-02-2021,07-06-2022
GB50178C,7,7,23-02-2018,17-06-2022
GB50178D,4,1,26-10-2017,10-07-2020
GB50178E,6,,26-02-2021,
GB50182A,16,3,07-06-2019,16-04-2021
GB501834,15,1,16-10-2021,21-03-2022
GB501835,7,2,01-10-2021,26-01-2022
GB501838,6,,26-02-2021,
GB501840,10,,14-03-2022,
GB50184A,9,1,16-06-2017,26-02-2021
GB50184C,8,2,21-06-2017,30-05-2022
GB50184E,6,,24-01-2020,
GB50184F,5,2,16-08-2013,26-02-2021
GB50184G,11,,05-03-2021,
GB501859,29,2,17-01-2022,09-03-2022
GB50186C,6,,12-02-2021,
GB501889,5,1,25-10-2021,17-05-2022
GB501904,6,,31-05-2022,
GB501969,5,,26-02-2021,
GB50202E,7,1,21-04-2017,16-10-2020
GB50202K,15,8,26-08-2016,14-03-2022
GB50202M,27,,12-10-2021,
GB50202N,21,,20-05-2022,
GB502038,18,,19-05-2022,
GB50204A,5,3,19-05-2017,12-03-2021
GB502053,5,2,08-02-2018,30-04-2021
GB502065,10,1,25-12-2020,01-11-2021
GB502066,3,,11-12-2020,
GB502079,4,,16-07-2021,
GB502081,1,3,06-02-2018,13-12-2021
GB502092,2,1,02-02-2018,26-02-2021
GB502125,4,,26-02-2021,
GB502151,24,,21-06-2022,
GB502159,4,1,16-08-2021,08-12-2021
GB50220C,7,5,18-10-2017,16-10-2020
GB50220D,8,,23-12-2021,
GB50224C,13,,31-05-2022,
GB50224D,6,1,09-10-2017,16-10-2020
GB50224E,6,1,09-10-2017,16-10-2020
GB50224G,17,,17-06-2022,
GB50224H,25,,16-03-2022,
GB50224K,6,1,12-10-2017,16-10-2020
GB50224L,8,,24-01-2022,
GB502284,12,1,21-03-2022,05-04-2022
GB502286,4,,12-02-2022,
GB502287,3,1,02-02-2018,26-02-2021
GB502290,11,3,10-08-2021,12-02-2022
GB502388,4,5,05-06-2017,26-02-2021
GB50242A,19,,24-05-2022,
GB50242B,10,,26-05-2021,
GB50242C,16,,21-03-2022,
GB50242E,8,1,03-08-2017,07-02-2020
GB50242F,9,,04-03-2022,
GB50242G,25,,18-05-2022,
GB50242H,34,3,04-12-2020,30-07-2021
GB50242I,1,4,03-08-2017,07-02-2020
GB50242J,30,,15-06-2022,
GB50242L,11,,10-11-2021,
GB50242M,7,,08-05-2020,
GB50242P,5,2,03-08-2017,10-02-2022
GB50242Q,6,1,03-08-2017,07-02-2020
GB50242S,8,1,03-08-2017,07-02-2020
GB50242U,6,,17-08-2021,
GB50244A,15,,30-05-2022,
GB50244B,14,,12-04-2022,
GB50244C,11,,25-05-2021,
GB50244D,9,3,27-09-2019,19-03-2021
GB502479,10,1,16-02-2022,21-03-2022
GB502481,3,2,14-06-2017,26-02-2021
GB502482,11,1,17-08-2021,20-08-2021
GB502495,4,,12-03-2021,
GB502497,4,1,14-12-2018,19-02-2021
GB502510,5,,22-06-2022,
GB502525,3,,13-11-2020,
GB502527,3,,05-03-2021,
GB502546,2,,19-02-2021,
GB50254A,7,,27-08-2021,
GB50254B,3,,07-08-2020,
GB502555,9,1,07-06-2021,28-04-2022
GB502558,1,2,27-07-2018,23-04-2021
GB502571,6,3,03-08-2018,19-03-2021
GB502572,6,,06-11-2020,
GB50257A,4,3,30-11-2018,11-12-2020
GB50257B,3,1,08-08-2017,25-12-2020
GB50257C,4,3,30-11-2018,19-02-2021
GB502628,6,,12-04-2022,
GB50262B,10,1,11-11-2021,21-12-2021
GB502631,7,,13-04-2022,
GB50264A,9,,17-11-2021,
GB502667,2,1,17-01-2018,19-02-2021
GB502703,4,1,29-10-2017,25-12-2020
GB502715,2,2,06-09-2019,04-02-2022
GB502739,1,2,14-02-2018,15-11-2021
GB502758,3,,26-06-2020,
GB502789,4,,05-03-2021,
GB502790,1,3,15-02-2018,24-07-2020
GB502793,9,,09-05-2022,
GB502802,15,,01-04-2022,
GB50282B,32,,20-05-2022,
GB50282D,10,1,19-02-2021,17-05-2022
GB50282E,10,3,14-06-2019,19-02-2021
GB50284A,9,1,16-08-2019,19-02-2021
GB502852,1,1,28-10-2017,06-11-2020
GB50286A,9,5,13-07-2017,12-05-2021
GB50286B,9,,15-11-2021,
GB50286C,8,1,01-03-2019,18-09-2020
GB50286D,7,1,25-09-2017,19-02-2021
GB50286E,7,1,22-09-2017,19-02-2021
GB50286F,11,1,31-07-2020,08-04-2022
GB502970,2,3,06-01-2017,08-05-2020
GB502988,6,,18-12-2020,
GB50302A,11,,12-03-2021,
GB50302B,25,,23-05-2022,
GB50302C,13,1,06-12-2019,16-04-2021
GB50302D,18,,25-02-2022,
GB50304B,24,,10-01-2022,
GB50304D,6,2,05-04-2019,19-02-2021
GB503102,12,1,25-05-2021,24-02-2022
GB503209,1,,27-03-2020,
GB503275,12,,17-03-2022,
GB503288,9,1,21-06-2019,19-02-2021
GB503289,1,6,27-04-2018,13-07-2021
GB503291,4,2,10-06-2016,09-04-2021
GB503293,2,2,26-05-2021,28-07-2021
GB503305,5,,24-04-2020,
GB503319,17,1,07-06-2021,29-09-2021
GB503337,20,,26-04-2022,
GB503346,4,2,09-11-2017,19-02-2021
GB503347,4,1,25-10-2017,25-12-2020
GB503350,4,1,10-11-2017,25-12-2020
GB503352,4,1,10-11-2017,25-12-2020
GB503401,2,1,24-10-2017,19-02-2021
GB503414,12,,27-04-2022,
GB50342B,11,,20-08-2021,
GB50342C,9,4,25-09-2017,24-08-2021
GB50342D,9,,21-09-2021,
GB50344E,24,,02-12-2021,
GB50344F,15,,24-07-2020,
GB503479,1,,09-06-2022,
GB50348B,7,1,08-09-2017,19-02-2021
GB503530,5,,14-02-2022,
GB503583,2,2,24-06-2016,23-04-2021
GB50362B,7,5,15-09-2017,07-02-2020
GB50362W,3,3,14-09-2017,19-02-2021
GB50362Y,3,2,07-09-2017,19-02-2021
GB50362Z,3,3,07-09-2017,19-02-2021
GB50364D,37,,19-05-2022,
GB503657,4,1,10-11-2017,25-12-2020
GB50366B,6,3,13-12-2019,17-08-2021
GB50366C,6,3,22-03-2019,07-09-2021
GB503683,16,,01-11-2021,
GB503709,10,,22-02-2022,
GB503713,3,,01-11-2021,
GB503722,1,1,12-05-2022,24-05-2022
GB503723,4,1,30-05-2017,19-02-2021
GB503725,4,1,20-12-2019,24-01-2020
GB503746,7,,19-11-2021,
GB503752,8,,06-06-2022,
GB503778,8,1,10-05-2022,13-06-2022
GB503779,6,,09-03-2022,
GB503781,4,2,21-09-2018,26-06-2020
GB503784,5,1,06-01-2017,19-03-2021
GB503789,5,3,27-09-2019,01-04-2021
GB503796,1,1,25-08-2021,22-04-2022
GB50382A,7,,04-08-2021,
GB50382B,6,2,30-10-2017,01-05-2020
GB50382C,9,,08-12-2021,
GB503844,5,2,28-05-2017,05-03-2021
GB503845,6,1,14-08-2017,26-02-2021
GB503846,4,2,28-05-2017,12-03-2021
GB50384A,11,1,09-12-2021,29-03-2022
GB50384B,7,1,04-08-2021,29-03-2022
GB50390A,2,1,02-08-2017,25-12-2020
GB503912,4,1,11-10-2019,26-02-2021
GB50415A,3,6,09-10-2015,19-03-2021
GB50415B,4,3,11-11-2016,19-03-2021
GB50417A,4,,21-04-2022,
GB50434A,2,1,28-10-2016,16-10-2020
GB50434B,2,1,06-01-2017,05-03-2021
GB50459A,4,1,28-07-2017,25-12-2020
GB50459B,3,1,30-07-2017,10-04-2020
GB50459C,4,1,28-07-2017,10-04-2020
GB50459D,4,1,30-07-2017,25-12-2020
GB50459E,4,1,30-07-2017,25-12-2020
GB50459F,6,3,28-07-2017,19-03-2021
GB50459G,4,2,30-07-2017,14-08-2020
GB50462A,1,1,29-06-2018,05-03-2021
GB50467A,5,,21-04-2022,
GB50467B,4,,21-04-2022,
GB50467C,6,,21-04-2022,
GB50467D,6,,21-04-2022,
GB50471C,5,,21-04-2022,
GB50477A,2,,27-05-2022,
GB50477B,1,1,12-12-2017,11-12-2020
GB50477C,1,1,21-11-2017,11-12-2020
GB50477D,2,2,05-07-2019,19-02-2021
GB50484C,12,4,27-12-2019,12-02-2021
GB50484D,11,,12-04-2022,
GB50484E,7,2,16-02-2018,05-03-2021
GB50484F,8,3,09-08-2017,30-04-2021
GB50484G,7,,09-08-2021,
GB50486B,12,,27-04-2022,
GB50486C,10,,08-06-2022,
GB50486D,11,1,03-02-2022,14-03-2022
GB50487D,4,,14-06-2021,
GB50489A,3,4,01-12-2017,08-12-2021
GB50489B,3,4,01-12-2017,08-12-2021
GB50502B,12,3,10-01-2022,06-06-2022
GB50502C,9,,19-05-2022,
GB50504B,10,1,24-09-2017,05-03-2021
GB50581A,6,1,11-05-2018,05-03-2021
GB50582B,9,3,30-12-2016,05-03-2021
GB50582D,10,,10-06-2022,
GB50584B,7,,27-01-2022,
GB50584D,7,1,22-12-2016,19-02-2021
GB50584E,8,,19-02-2021,
GB50584F,9,1,22-12-2016,05-03-2021
GB50584G,8,2,22-12-2016,22-03-2022
GB50588A,12,,06-01-2022,
GB50622A,6,2,14-10-2016,05-03-2021
GB50622B,14,,28-01-2022,
GB50622C,4,1,14-10-2016,24-07-2020
GB50642A,4,3,14-10-2016,24-07-2020
GB50642B,5,2,02-11-2018,24-07-2020
GB50642C,9,1,01-11-2019,05-03-2021
GB50644A,4,1,14-10-2016,20-11-2020
GB50644B,4,1,14-10-2016,20-11-2020
GB50657B,5,,12-06-2020,
GB50657C,4,2,10-02-2017,12-03-2021
GB50664A,2,1,07-06-2019,05-03-2021
GB50664B,2,1,07-06-2019,26-02-2021
GB50671B,4,2,30-09-2016,18-09-2020
GB50680A,6,,30-12-2021,
GB50682A,11,,27-05-2022,
GB50682B,7,,15-09-2021,
GB50682C,10,,15-06-2022,
GB50684B,7,1,12-10-2021,06-05-2022
GB50686A,7,3,01-06-2017,26-02-2021
GB50697A,3,,06-07-2021,
GB50697B,3,2,13-09-2019,19-03-2021
GB50702D,7,1,04-08-2021,26-05-2022
GB50714C,3,,26-02-2021,
GB50714D,3,,26-02-2021,
GB50718H,4,1,15-06-2018,26-02-2021
GB50722B,13,,28-01-2022,
GB50722C,12,1,01-04-2022,14-06-2022
GB50722F,12,1,02-06-2021,07-01-2022
GB50729A,3,1,25-05-2021,01-06-2021
GB50734B,6,,24-02-2022,
GB50734C,7,,25-02-2022,
GB50734D,9,,12-10-2021,
GB50734E,6,,25-12-2020,
GB50736A,7,,07-02-2022,
GB50744A,5,3,10-03-2017,26-02-2021
GB50764A,4,1,18-09-2017,25-12-2020
GB50780A,9,,16-04-2021,
GB50780B,5,1,01-08-2017,18-12-2020
GB50780C,11,1,25-05-2021,01-07-2021
GB50781D,7,,25-05-2022,
GB50782A,6,1,11-09-2020,08-01-2021
GB50782J,6,,11-09-2020,
GB50782L,6,,26-02-2021,
GB50782M,5,4,28-04-2017,11-09-2020
GB50782P,5,4,12-10-2017,31-03-2022
GB50782Q,6,,10-11-2021,
GB50782R,3,1,28-04-2017,18-12-2020
GB50782S,4,1,28-04-2017,20-11-2020
GB50782T,4,1,14-06-2017,04-12-2020
GB50782U,6,5,19-05-2017,26-03-2021
GB50782V,7,4,13-09-2019,07-08-2020
GB50782W,7,2,13-04-2018,26-02-2021
GB50783A,5,2,12-06-2017,12-02-2021
GB50783B,10,,25-02-2022,
GB50783C,5,,16-10-2021,
GB50784A,10,,23-03-2022,
GB50784B,4,4,14-06-2017,21-03-2022
GB50785B,6,1,11-09-2020,11-12-2020
GB50786C,5,3,24-10-2017,05-03-2021
GB50786E,5,1,24-10-2017,25-12-2020
GB50791A,1,3,30-03-2018,26-02-2021
GB50793A,2,2,30-03-2018,26-02-2021
GB50793B,2,2,30-03-2018,26-02-2021
GB50794A,2,2,13-04-2018,26-02-2021
GB50794B,3,,09-04-2021,
GB50795A,2,2,12-10-2018,26-02-2021
GB50795B,2,4,08-06-2018,18-05-2021
GB50797A,3,1,30-03-2018,12-03-2021
GB50797B,2,2,08-12-2017,12-03-2021
GB50801B,8,,06-04-2022,
GB50801E,4,,30-06-2021,
GB50802B,13,,25-04-2022,
GB50802C,8,3,21-02-2020,18-12-2020
GB50802D,7,,30-12-2021,
GB50802E,6,1,09-11-2017,26-02-2021
GB50802H,14,2,13-12-2021,18-05-2022
GB50802J,5,2,06-10-2017,21-02-2020
GB50804A,5,1,29-03-2019,26-02-2021
GB50804B,7,,17-05-2022,
GB50804D,5,2,24-10-2017,26-02-2021
GB50804E,6,2,24-10-2017,15-06-2021
GB50805A,8,,09-05-2022,
GB50805B,6,,20-01-2022,
GB50805C,5,1,05-10-2017,25-12-2020
GB50808C,16,,27-05-2022,
GB50808D,6,,31-05-2022,
GB50821A,4,4,05-09-2017,20-03-2020
GB50821B,5,1,26-07-2019,26-02-2021
GB50821C,5,1,29-03-2019,26-02-2021
GB50821D,5,1,26-07-2019,26-02-2021
GB50822A,4,2,07-04-2017,11-02-2022
GB50822C,9,,11-02-2022,
GB50822D,6,1,26-07-2019,11-09-2020
GB50822E,5,2,26-07-2019,05-02-2021
GB50823A,5,5,07-04-2017,12-02-2021
GB50823B,6,,09-08-2021,
GB50823C,5,2,07-04-2017,03-07-2020
GB50823D,5,1,07-04-2017,18-12-2020
GB50823E,5,1,07-04-2017,18-12-2020
GB50824A,7,1,07-04-2017,18-12-2020
GB50826B,11,4,15-11-2019,19-03-2021
GB50826E,31,,21-01-2022,
GB50826F,4,1,28-04-2017,20-11-2020
GB50826G,5,,20-11-2020,
GB50826J,4,1,28-04-2017,16-10-2020
GB50826K,7,,18-03-2022,
GB50828A,5,1,28-02-2020,06-05-2021
GB50828B,5,2,24-03-2017,07-05-2021
GB50842A,5,1,30-10-2020,07-05-2021
GB50842B,6,1,24-03-2017,26-02-2021
GB50842D,4,1,24-03-2017,20-11-2020
GB50842E,4,1,24-03-2017,21-02-2020
GB50844C,4,1,07-04-2017,18-12-2020
GB50844D,4,3,07-04-2017,26-02-2021
GB50844E,4,3,07-04-2017,05-03-2021
GB50846D,6,,26-10-2021,
GB50848A,7,1,14-04-2017,18-12-2020
GB50849F,6,5,03-07-2017,20-12-2021
GB50862A,7,2,20-01-2017,20-11-2020
GB50862B,5,2,20-01-2017,05-02-2021
GB50862C,6,,08-06-2021,
GB50862D,4,7,03-03-2017,05-03-2021
GB50863A,7,,24-12-2021,
GB50863C,4,3,11-01-2018,18-09-2020
GB50864D,12,,29-03-2022,
GB50864E,15,,31-05-2022,
GB50864F,12,,27-05-2022,
GB50864G,6,2,20-01-2017,05-02-2021
GB50864H,6,2,20-01-2017,07-02-2020
GB50865A,3,1,26-10-2018,05-03-2021
GB50871A,5,,07-06-2022,
GB50871B,3,,07-06-2022,
GB50871C,3,,07-06-2022,
GB50871D,3,,07-06-2022,
GB50900A,3,1,02-10-2017,26-02-2021
GB50901A,6,1,06-07-2018,05-03-2021
GB50901B,5,3,06-07-2018,05-03-2021
GB50901C,7,,18-06-2021,
GB50910A,6,,15-06-2021,
GB50910B,6,,15-06-2022,
GB50921A,7,1,17-01-2018,14-08-2020
GB50970A,6,2,13-04-2018,05-03-2021
GB50970B,12,,24-11-2021,
GB50993A,4,2,06-06-2017,05-03-2021
GB510110,7,,21-04-2022,
GB510210,9,2,03-08-2021,13-04-2022
GB510310,8,,24-02-2022,
GB510320,10,6,27-07-2018,03-07-2020
GB510330,8,3,20-07-2018,12-01-2022
GB51168B,3,,04-06-2021,
GB51404A,4,,12-10-2021,
GB51404B,2,4,05-09-2017,26-02-2021
GB51431A,4,5,10-10-2017,06-11-2020
GB51431B,7,2,14-06-2021,19-01-2022
GB51452A,2,1,15-11-2017,25-12-2020
GB51456A,3,1,11-05-2016,03-04-2020
GB51462I,6,,07-06-2022,
GB51489A,3,2,15-11-2017,26-02-2021
GB51577D,3,1,17-01-2018,26-02-2021
GB51577E,3,1,18-01-2018,26-02-2021
GB51577H,2,1,17-01-2018,26-02-2021
GB51577I,2,1,17-01-2018,26-02-2021
GB51581A,6,1,01-04-2016,14-02-2020
GB51581B,6,1,25-10-2017,25-12-2020
GB51581C,6,1,25-10-2017,25-12-2020
GB51581D,6,1,25-10-2017,11-12-2020
GB51581G,1,1,26-01-2018,26-02-2021
GB51638A,2,1,17-01-2018,26-02-2021
GB51670A,6,7,13-11-2020,06-05-2022
GB51670B,4,4,30-06-2017,26-02-2021
GB51710C,6,7,16-09-2016,02-03-2022
GB51712B,4,2,15-05-2015,03-04-2020
GB51798A,5,1,14-12-2018,26-02-2021
GB51798B,7,,01-06-2021,
GB51859C,12,,25-05-2021,
GB51862B,3,6,22-04-2016,10-05-2022
GB51864C,6,,25-01-2022,
GB51866C,4,,29-06-2021,
GB51867A,6,,15-11-2021,
GB51867C,7,,20-08-2021,
GB51882C,4,1,08-09-2017,26-02-2021
GB51946B,6,1,20-07-2018,12-03-2021
GB51946C,4,2,23-08-2017,06-11-2020
GB51961C,4,1,01-11-2017,10-04-2020
GB51961E,3,1,01-11-2017,11-12-2020
GB51967A,4,,18-05-2022,
GB51991C,5,3,12-05-2017,06-08-2021
GB52020A,9,4,12-07-2019,18-02-2022
GB52020B,10,,31-07-2020,
GB52041D,5,,25-05-2021,
GB52046C,3,5,02-10-2017,26-02-2021
GB52047A,2,1,09-11-2018,12-03-2021
GB52057A,2,,12-03-2021,
GB52064B,5,1,18-08-2017,18-12-2020
GB52103A,5,3,11-03-2016,09-04-2021
GB52134A,9,,18-03-2022,
GB52134C,6,,16-10-2021,
GB52253A,15,,28-04-2022,
GB52253B,6,,25-05-2021,
GB52268A,6,,10-06-2022,
GB52268B,2,3,12-10-2017,26-06-2020
GB52268C,10,,13-06-2022,
GB52345A,7,,16-02-2022,
GB52399A,6,5,03-07-2015,04-09-2020
GB52399B,5,,07-08-2020,
GB52399C,7,1,02-08-2019,04-09-2020
GB52472B,8,,12-03-2021,
GB52474A,7,4,30-11-2017,15-12-2021
GB52474D,8,,26-01-2022,
GB52494D,5,,12-03-2021,
GB52495A,2,1,19-12-2017,12-03-2021
GB52495B,5,,10-05-2021,
GB52495C,4,,10-05-2021,
GB52524A,5,1,07-10-2016,20-11-2020
GB52524B,5,1,07-10-2016,20-11-2020
GB52524E,5,1,07-10-2016,20-11-2020
GB52528A,5,,18-12-2020,
GB52543C,1,1,17-03-2017,23-04-2021
GB52543D,2,,20-03-2020,
GB52544A,1,1,17-03-2017,23-04-2021
GB52544B,1,1,08-01-2018,23-04-2021
GB52550A,2,1,17-03-2017,04-12-2020
GB52550B,2,,13-11-2020,
GB52552A,2,1,22-06-2018,12-03-2021
GB52552B,2,1,22-06-2018,12-03-2021
GB52552C,2,,12-03-2021,
GB52560A,1,1,17-03-2017,23-04-2021
GB52560B,1,1,17-03-2017,23-04-2021
GB52566C,6,,20-01-2022,
GB52566Y,12,,21-04-2022,
GB52582A,1,1,17-03-2017,23-04-2021
GB52582B,1,2,17-03-2017,23-04-2021
GB52582C,2,,02-06-2021,
GB52711A,6,,16-02-2022,
GB52711B,6,,14-02-2020,
GB52721A,9,,05-04-2022,
GB52770A,7,2,06-12-2019,05-01-2022
GB52792A,1,1,28-10-2017,25-12-2020
GB52792B,1,1,28-10-2017,25-12-2020
GB52792C,2,9,06-11-2017,12-03-2021
GB52792D,1,6,09-11-2017,30-11-2021
GB52825A,4,,23-05-2022,
GB52825B,2,2,03-03-2017,24-07-2020
GB52825C,2,2,03-03-2017,30-04-2021
GB52825D,2,1,17-02-2017,12-03-2021
GB52825E,2,1,10-02-2017,12-03-2021
GB52852A,1,1,08-11-2017,08-01-2021
GB52988B,3,,24-04-2020,
GB53208C,2,,05-03-2021,
GB53210A,1,,27-03-2020,
GB53210B,2,,10-03-2022,
GB53210C,1,,27-03-2020,
GB53221A,4,1,23-10-2017,05-02-2021
GB53265A,6,2,10-08-2017,05-02-2021
GB53307C,4,,20-11-2020,
GB53307D,5,,17-04-2020,
GB53322D,6,4,29-06-2017,12-03-2021
GB53324B,4,2,30-06-2017,05-02-2021
GB53404A,13,1,21-02-2022,01-03-2022
GB53404B,6,,26-01-2022,
GB53404D,7,,26-01-2022,
GB53404E,5,,17-11-2021,
GB53405A,5,,08-05-2020,
GB53405C,5,,09-12-2021,
GB53405D,6,,21-01-2022,
GB53413D,7,1,11-02-2022,09-05-2022
GB53426A,3,2,11-10-2017,12-03-2021
GB53463C,2,1,01-03-2019,12-03-2021
GB53478C,2,1,28-04-2017,20-11-2020
GB53492A,8,,27-01-2022,
GB53492B,5,1,18-11-2016,13-11-2020
GB53493A,3,,20-11-2020,
GB53496A,34,,10-06-2022,
GB53496C,29,,10-06-2022,
GB53582A,2,1,24-06-2016,14-02-2020
GB53582C,3,,17-04-2020,
GB53582E,3,,17-04-2020,
GB53586A,4,,22-11-2021,
GB53586B,3,,17-04-2020,
GB53586C,3,,17-04-2020,
GB53587C,2,,12-03-2021,
GB53587D,2,,17-04-2020,
GB53587E,2,,17-04-2020,
GB53587G,2,1,24-08-2017,12-03-2021
GB53589B,2,1,16-11-2018,12-03-2021
GB53589C,2,1,16-11-2018,12-03-2021
GB53589D,2,1,16-11-2018,12-03-2021
GB53599B,8,3,12-05-2017,23-10-2020
GB53724B,8,3,01-06-2017,29-11-2021
GB53912A,4,1,11-10-2019,12-03-2021
GB54001A,7,1,21-06-2019,23-04-2021
GB54001B,6,1,23-12-2016,04-12-2020
GB54002D,5,2,23-12-2016,12-03-2021
GB54030A,2,2,11-11-2016,26-06-2020
GB54030B,6,2,21-06-2019,02-02-2022
GB54030C,4,1,24-08-2018,19-03-2021
GB54031C,11,,30-06-2021,
GB54082A,4,1,28-10-2016,16-10-2020
GB54082C,6,,28-10-2016,
GB54133A,4,2,15-04-2016,27-03-2020
GB54232A,9,2,23-08-2019,12-03-2021
GB550197,3,,08-05-2020,
GB55046A,16,1,24-08-2021,29-09-2021
GB55050A,9,1,15-06-2021,02-09-2021
GB55062B,11,,25-05-2021,
GB55062C,11,3,03-01-2020,04-09-2020
GB55082A,7,,07-02-2020,
GB55082B,5,1,13-06-2017,04-12-2020
GB55082C,11,,11-02-2022,
GB55502B,8,4,20-01-2017,10-03-2022
GB57002A,11,2,13-11-2020,07-03-2022
GB57022B,11,1,15-02-2022,01-03-2022
GB57211A,5,2,01-03-2019,07-05-2021
GB58004B,8,,25-05-2021,
GB58022A,4,1,13-09-2019,17-04-2020
GB58022B,5,2,06-12-2019,26-06-2020
GB58022C,4,,07-03-2022,
GB58102A,7,2,30-07-2017,29-12-2021
GB58102C,6,,09-10-2021,
GB58122A,8,,25-05-2021,
GB58202A,9,,10-02-2022,
GB58202C,11,,06-09-2021,
GB58650B,2,1,26-10-2018,09-10-2021
GB58650C,2,1,26-10-2018,09-10-2021
GB58932A,6,2,28-12-2018,01-05-2020
GB58932B,9,,10-03-2022,
GB5FLBPM,2,1,28-03-2022,11-04-2022
